nsmoid,weight,hispan,race,mortgage_reason,sale_proceeds,savings_retire_etc,govt_np_asst,second_lien_heloc,gift,seller_cont,total_hh_inc,race_eth
308570,577.992672413793,2,1,1,2,1,0,0,0,1,6,White
308571,1021.4125,2,4,1,2,1,0,0,0,2,6,other or multiple races
308573,1024.67764705882,2,1,1,2,1,0,0,1,2,4,White
308574,1484.66034246575,2,1,2,-2,0,0,0,0,-2,4,White
308575,1230.88258064516,2,1,1,1,1,0,0,0,2,6,White
308576,1693.53692307692,2,3,1,2,1,0,0,0,2,5,Asian
308577,637.1,2,1,2,-2,0,0,0,0,-2,3,White
308578,1619.82040816326,2,1,1,2,1,0,0,1,1,5,White
308579,816.408766519824,2,1,2,-2,0,0,0,0,-2,4,White
308580,631.564007936508,2,1,1,2,1,0,0,0,2,4,White
308581,623.674285714285,2,1,2,-2,0,0,0,0,-2,4,White
308582,1693.53692307692,2,1,1,1,0,0,0,0,1,4,White
308583,854.756291390728,1,1,2,-2,0,0,0,0,-2,2,Hispanic
308584,638.567350746268,2,2,5,-2,0,0,0,0,-2,2,Black
308585,1267.9797183098501,2,1,2,-2,0,0,0,0,-2,4,White
308586,616.653972602739,2,1,2,-2,0,0,0,0,-2,1,White
308587,615.241860465116,2,1,4,-2,0,0,0,0,-2,5,White
308588,3570.76530612244,2,1,1,2,0,1,0,0,1,4,White
308589,957.107006369426,2,1,1,1,0,0,0,0,2,4,White
308590,1674.16653061224,2,1,1,2,1,0,0,1,2,6,White
308591,621.835784753363,2,1,2,-2,0,0,0,0,-2,4,White
308592,1383.06762172284,2,1,2,-2,0,0,0,0,-2,5,White
308593,528.266221374045,2,4,1,2,0,0,0,0,2,6,other or multiple races
308594,559.157456445993,2,2,2,-2,0,0,0,0,-2,3,Black
308595,501.901355311355,2,1,1,1,0,0,0,0,2,6,White
308596,838.169779005525,2,2,2,-2,0,0,0,0,-2,5,Black
308597,919.748580323785,1,1,2,-2,0,0,0,0,-2,5,Hispanic
308598,1713.5919025522,2,1,1,1,0,0,0,0,2,5,White
308599,715.49376146789,2,3,1,1,1,0,0,0,2,6,Asian
308600,830.418606060606,2,1,1,2,1,0,1,0,2,5,White
308601,1166.45,2,1,1,1,1,0,0,0,2,4,White
308603,2136.74267605633,2,1,1,2,1,0,0,1,1,2,White
308604,569.188636363636,2,2,1,2,1,0,0,1,2,4,Black
308605,935.36015936255,2,1,1,1,0,0,0,0,2,6,White
308606,2049.07921568627,2,1,2,-2,0,0,0,0,-2,6,White
308607,976.768,2,1,1,1,1,0,0,0,2,5,White
308608,1292.92058823529,2,4,2,-2,0,0,0,0,-2,4,other or multiple races
308609,1191.68468468468,2,1,2,-2,0,0,0,0,-2,3,White
308610,1021.4125,2,1,1,2,1,0,0,0,2,4,White
308611,978.162202380952,2,1,2,-2,0,0,0,0,-2,5,White
308612,2099.33171875,2,1,1,1,0,0,0,0,2,3,White
308613,919.748580323785,1,1,2,-2,0,0,0,0,-2,4,Hispanic
308614,474.536322869955,2,4,1,2,1,0,0,0,2,3,other or multiple races
308615,1973.81709090909,2,1,1,2,1,0,0,0,2,5,White
