"","county_fips","raceeth","derived_msa_md","county_fips_race","below_5_county","above_20_county","below_5_msa","above_20_msa"
"78","13101","Total",46660,"13101_t",0.608560794044665,0.166873449131514,0.608560794044665,0.166873449131514
"79","13103","Black",42340,"13103_b",0.749379652605459,0.0736145574855252,0.749379652605459,0.0736145574855252
"80","13103","White",42340,"13103_w",0.382603406326034,0.310624493106245,0.382603406326034,0.310624493106245
"81","13103","Total",42340,"13103_t",0.454811919882755,0.263963523856049,0.454811919882755,0.263963523856049
"82","13113","Black",12060,"13113_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"83","13113","White",12060,"13113_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"84","13113","Total",12060,"13113_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"85","13115","Black",40660,"13115_b",0.788990825688073,0.0458715596330275,0.788990825688073,0.0458715596330275
"86","13115","White",40660,"13115_w",0.434237995824635,0.281837160751566,0.434237995824635,0.281837160751566
"87","13115","Total",40660,"13115_t",0.470477975632615,0.257731958762887,0.470477975632615,0.257731958762887
"88","13117","Black",12060,"13117_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"89","13117","White",12060,"13117_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"90","13117","Total",12060,"13117_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"91","13121","Black",12060,"13121_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"92","13121","White",12060,"13121_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"93","13121","Total",12060,"13121_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"94","13127","Black",15260,"13127_b",0.728476821192053,0.033112582781457,0.728476821192053,0.033112582781457
"95","13127","White",15260,"13127_w",0.345668629100084,0.362489486963835,0.345668629100084,0.362489486963835
"96","13127","Total",15260,"13127_t",0.388805970149254,0.325373134328358,0.388805970149254,0.325373134328358
"97","13135","Black",12060,"13135_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"98","13135","White",12060,"13135_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"99","13135","Total",12060,"13135_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"100","13139","Black",23580,"13139_b",0.538461538461539,0.153846153846154,0.538461538461539,0.153846153846154
"101","13139","White",23580,"13139_w",0.242647058823529,0.466911764705882,0.242647058823529,0.466911764705882
"102","13139","Total",23580,"13139_t",0.271369294605809,0.436514522821577,0.271369294605809,0.436514522821577
"103","13143","Black",12060,"13143_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"104","13143","White",12060,"13143_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"105","13143","Total",12060,"13143_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"106","13145","Black",17980,"13145_b",0.823353293413174,0.0369261477045908,0.823353293413174,0.0369261477045908
"107","13145","White",17980,"13145_w",0.55560769591741,0.199906147348663,0.55560769591741,0.199906147348663
"108","13145","Total",17980,"13145_t",0.641238429620172,0.147781678902011,0.641238429620172,0.147781678902011
"109","13149","Black",12060,"13149_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"110","13149","White",12060,"13149_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"111","13149","Total",12060,"13149_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"112","13151","Black",12060,"13151_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"113","13151","White",12060,"13151_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"114","13151","Total",12060,"13151_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"115","13153","Black",47580,"13153_b",0.80952380952381,0.0344478216818642,0.80952380952381,0.0344478216818642
"116","13153","White",47580,"13153_w",0.500850822461713,0.201361315938741,0.500850822461713,0.201361315938741
"117","13153","Total",47580,"13153_t",0.611636363636364,0.141454545454545,0.611636363636364,0.141454545454545
"118","13159","Black",12060,"13159_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"119","13159","White",12060,"13159_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"120","13159","Total",12060,"13159_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"121","13169","Black",31420,"13169_b",0.772991850989523,0.0454016298020955,0.772991850989523,0.0454016298020955
"122","13169","White",31420,"13169_w",0.384158415841584,0.293729372937294,0.384158415841584,0.293729372937294
"123","13169","Total",31420,"13169_t",0.524852569502949,0.203875315922494,0.524852569502949,0.203875315922494
"124","13171","Black",12060,"13171_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"125","13171","White",12060,"13171_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"126","13171","Total",12060,"13171_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"127","13173","Black",46660,"13173_b",0.858247422680412,0.0438144329896907,0.858247422680412,0.0438144329896907
"128","13173","White",46660,"13173_w",0.529411764705882,0.205882352941176,0.529411764705882,0.205882352941176
"129","13173","Total",46660,"13173_t",0.608560794044665,0.166873449131514,0.608560794044665,0.166873449131514
"130","13177","Black",10500,"13177_b",0.761410788381743,0.029045643153527,0.761410788381743,0.029045643153527
"131","13177","White",10500,"13177_w",0.494366197183099,0.222535211267606,0.494366197183099,0.222535211267606
"132","13177","Total",10500,"13177_t",0.602348993288591,0.144295302013423,0.602348993288591,0.144295302013423
"133","13179","Black",25980,"13179_b",0.903669724770642,0.0275229357798165,0.903669724770642,0.0275229357798165
"134","13179","White",25980,"13179_w",0.766169154228856,0.0945273631840796,0.766169154228856,0.0945273631840796
"135","13179","Total",25980,"13179_t",0.823869104908566,0.0664100096246391,0.823869104908566,0.0664100096246391
"136","13181","Black",12260,"13181_b",0.767337807606264,0.0626398210290828,0.767337807606264,0.0626398210290828
"137","13181","White",12260,"13181_w",0.445762711864407,0.26864406779661,0.445762711864407,0.26864406779661
"138","13181","Total",12260,"13181_t",0.534111862323294,0.212046711739398,0.534111862323294,0.212046711739398
"139","13183","Black",25980,"13183_b",0.903669724770642,0.0275229357798165,0.903669724770642,0.0275229357798165
"140","13183","White",25980,"13183_w",0.766169154228856,0.0945273631840796,0.766169154228856,0.0945273631840796
"141","13183","Total",25980,"13183_t",0.823869104908566,0.0664100096246391,0.823869104908566,0.0664100096246391
"142","13185","Black",46660,"13185_b",0.858247422680412,0.0438144329896907,0.858247422680412,0.0438144329896907
"143","13185","White",46660,"13185_w",0.529411764705882,0.205882352941176,0.529411764705882,0.205882352941176
"144","13185","Total",46660,"13185_t",0.608560794044665,0.166873449131514,0.608560794044665,0.166873449131514
"145","13189","Black",12260,"13189_b",0.767337807606264,0.0626398210290828,0.767337807606264,0.0626398210290828
"146","13189","White",12260,"13189_w",0.445762711864407,0.26864406779661,0.445762711864407,0.26864406779661
"147","13189","Total",12260,"13189_t",0.534111862323294,0.212046711739398,0.534111862323294,0.212046711739398
"148","13191","Black",15260,"13191_b",0.728476821192053,0.033112582781457,0.728476821192053,0.033112582781457
"149","13191","White",15260,"13191_w",0.345668629100084,0.362489486963835,0.345668629100084,0.362489486963835
"150","13191","Total",15260,"13191_t",0.388805970149254,0.325373134328358,0.388805970149254,0.325373134328358
"151","13195","Black",12020,"13195_b",0.695652173913043,0.0869565217391304,0.695652173913043,0.0869565217391304
"152","13195","White",12020,"13195_w",0.26468910439247,0.403879064460924,0.26468910439247,0.403879064460924
"153","13195","Total",12020,"13195_t",0.300940438871473,0.377220480668757,0.300940438871473,0.377220480668757
"154","13197","Black",17980,"13197_b",0.823353293413174,0.0369261477045908,0.823353293413174,0.0369261477045908
"155","13197","White",17980,"13197_w",0.55560769591741,0.199906147348663,0.55560769591741,0.199906147348663
"156","13197","Total",17980,"13197_t",0.641238429620172,0.147781678902011,0.641238429620172,0.147781678902011
"157","13199","Black",12060,"13199_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"158","13199","White",12060,"13199_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"159","13199","Total",12060,"13199_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"160","13207","Black",31420,"13207_b",0.772991850989523,0.0454016298020955,0.772991850989523,0.0454016298020955
"161","13207","White",31420,"13207_w",0.384158415841584,0.293729372937294,0.384158415841584,0.293729372937294
"162","13207","Total",31420,"13207_t",0.524852569502949,0.203875315922494,0.524852569502949,0.203875315922494
"163","13211","Black",12060,"13211_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"164","13211","White",12060,"13211_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"165","13211","Total",12060,"13211_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"166","13213","Black",19140,"13213_b",0.675675675675676,0.0540540540540541,0.675675675675676,0.0540540540540541
"167","13213","White",19140,"13213_w",0.483014861995754,0.254777070063694,0.483014861995754,0.254777070063694
"168","13213","Total",19140,"13213_t",0.490296220633299,0.247191011235955,0.490296220633299,0.247191011235955
"169","13215","Black",17980,"13215_b",0.823353293413174,0.0369261477045908,0.823353293413174,0.0369261477045908
"170","13215","White",17980,"13215_w",0.55560769591741,0.199906147348663,0.55560769591741,0.199906147348663
"171","13215","Total",17980,"13215_t",0.641238429620172,0.147781678902011,0.641238429620172,0.147781678902011
"172","13217","Black",12060,"13217_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"173","13217","White",12060,"13217_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"174","13217","Total",12060,"13217_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"175","13219","Black",12020,"13219_b",0.695652173913043,0.0869565217391304,0.695652173913043,0.0869565217391304
"176","13219","White",12020,"13219_w",0.26468910439247,0.403879064460924,0.26468910439247,0.403879064460924
"177","13219","Total",12020,"13219_t",0.300940438871473,0.377220480668757,0.300940438871473,0.377220480668757
"178","13221","Black",12020,"13221_b",0.695652173913043,0.0869565217391304,0.695652173913043,0.0869565217391304
"179","13221","White",12020,"13221_w",0.26468910439247,0.403879064460924,0.26468910439247,0.403879064460924
"180","13221","Total",12020,"13221_t",0.300940438871473,0.377220480668757,0.300940438871473,0.377220480668757
"181","13223","Black",12060,"13223_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"182","13223","White",12060,"13223_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"183","13223","Total",12060,"13223_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"184","13225","Black",47580,"13225_b",0.80952380952381,0.0344478216818642,0.80952380952381,0.0344478216818642
"185","13225","White",47580,"13225_w",0.500850822461713,0.201361315938741,0.500850822461713,0.201361315938741
"186","13225","Total",47580,"13225_t",0.611636363636364,0.141454545454545,0.611636363636364,0.141454545454545
"187","13227","Black",12060,"13227_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"188","13227","White",12060,"13227_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"189","13227","Total",12060,"13227_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"190","13231","Black",12060,"13231_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"191","13231","White",12060,"13231_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"192","13231","Total",12060,"13231_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"193","13235","Black",47580,"13235_b",0.80952380952381,0.0344478216818642,0.80952380952381,0.0344478216818642
"194","13235","White",47580,"13235_w",0.500850822461713,0.201361315938741,0.500850822461713,0.201361315938741
"195","13235","Total",47580,"13235_t",0.611636363636364,0.141454545454545,0.611636363636364,0.141454545454545
"196","13245","Black",12260,"13245_b",0.767337807606264,0.0626398210290828,0.767337807606264,0.0626398210290828
"197","13245","White",12260,"13245_w",0.445762711864407,0.26864406779661,0.445762711864407,0.26864406779661
"198","13245","Total",12260,"13245_t",0.534111862323294,0.212046711739398,0.534111862323294,0.212046711739398
"199","13247","Black",12060,"13247_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"200","13247","White",12060,"13247_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"201","13247","Total",12060,"13247_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"202","13255","Black",12060,"13255_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"203","13255","White",12060,"13255_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"204","13255","Total",12060,"13255_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"205","13273","Black",10500,"13273_b",0.761410788381743,0.029045643153527,0.761410788381743,0.029045643153527
"206","13273","White",10500,"13273_w",0.494366197183099,0.222535211267606,0.494366197183099,0.222535211267606
"207","13273","Total",10500,"13273_t",0.602348993288591,0.144295302013423,0.602348993288591,0.144295302013423
"208","13289","Black",31420,"13289_b",0.772991850989523,0.0454016298020955,0.772991850989523,0.0454016298020955
"209","13289","White",31420,"13289_w",0.384158415841584,0.293729372937294,0.384158415841584,0.293729372937294
"210","13289","Total",31420,"13289_t",0.524852569502949,0.203875315922494,0.524852569502949,0.203875315922494
"211","13295","Black",16860,"13295_b",0.648648648648649,0.11003861003861,0.648648648648649,0.11003861003861
"212","13295","White",16860,"13295_w",0.333381398702235,0.337130497476568,0.333381398702235,0.337130497476568
"213","13295","Total",16860,"13295_t",0.355293170535355,0.321347108546894,0.355293170535355,0.321347108546894
"214","13297","Black",12060,"13297_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"215","13297","White",12060,"13297_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"216","13297","Total",12060,"13297_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"217","13313","Black",19140,"13313_b",0.675675675675676,0.0540540540540541,0.675675675675676,0.0540540540540541
"218","13313","White",19140,"13313_w",0.483014861995754,0.254777070063694,0.483014861995754,0.254777070063694
"219","13313","Total",19140,"13313_t",0.490296220633299,0.247191011235955,0.490296220633299,0.247191011235955
"220","13321","Black",10500,"13321_b",0.761410788381743,0.029045643153527,0.761410788381743,0.029045643153527
"221","13321","White",10500,"13321_w",0.494366197183099,0.222535211267606,0.494366197183099,0.222535211267606
"222","13321","Total",10500,"13321_t",0.602348993288591,0.144295302013423,0.602348993288591,0.144295302013423
